,Text,True Label,Prediction
25,"""Gleichzeitig muss der Mann ja überhaupt nicht arbeiten und wird hauptsächlich von seinen Privilegien bezahlt, wärend Frauen mehr Arbeiten und trotzdem weniger bekommen.",EXPRESSIVE,ASSERTIVE
26,Kompliment den Niederlanden.,ASSERTIVE,EXPRESSIVE
27,geiler wirds heute nicht mehr,UNSURE,EXPRESSIVE
28,jagd die #Grünen-Nazis zum Teufel,DIRECTIVE,UNSURE
29,"|LBR| Eigentlich eine Anmerkung, ein Gedanke zu einem anderen, genialen Tweet.",ASSERTIVE,EXPRESSIVE
30,"spühl ab,",UNSURE,ASSERTIVE
31,"Und Tierfeinde die mit Vegan und Veggie heucheln, aber wenn der bunte Moslem seinen Amoklauf durchzieht, ist das auf einmal dufte.",EXPRESSIVE,ASSERTIVE
32,... es ist ein Segen,ASSERTIVE,EXPRESSIVE
33,"Ist ne Kampagne der Gutmenschen, sich dieser Umfrage besonders anzunehmen",ASSERTIVE,DIRECTIVE
34,Wer wird gewinnen.,DIRECTIVE,ASSERTIVE
35,Der Film geht mit einem Auto.,UNSURE,ASSERTIVE
36,Sozial,ASSERTIVE,UNSURE
37,"Auch wenn, du bleibst ein Arschloch.",EXPRESSIVE,ASSERTIVE
38,Regensburg hatte nur Glück ...,ASSERTIVE,EXPRESSIVE
39,des is so krass,ASSERTIVE,EXPRESSIVE
40,"Und du bist ein Arschloch, nicht aufgrund deiner Herkunft, einfach nur weil du ein ignorantes Arschloch bist.",EXPRESSIVE,ASSERTIVE
41,Ist ja auch verständlich.,UNSURE,ASSERTIVE
42,Diese Islam existiert aber nur und ausschließlich in den Taquia Reden der Talkshow-Virzeigemoslems,UNSURE,ASSERTIVE
43,Is'n Jugendfilm.,ASSERTIVE,UNSURE
44,Scheiß drauf,DIRECTIVE,UNSURE
45,"Antisemitismus-Keule nehmen, mit Vaseline beschmieren und rektal einführen...",DIRECTIVE,UNSURE
46,"also mir gefällt sie besser als jede die ich je gelesen hab""",EXPRESSIVE,ASSERTIVE
47,"Nicht mit dem inneren Feind Altparteienkartell, EU Freunden, Globalisten usw.",UNSURE,DIRECTIVE
48,Außer wir Nazis natürlich,EXPRESSIVE,UNSURE
49,“Nur die Deppen von #SPD #CDU #CSU haben das immer noch nicht mitbekommen.,EXPRESSIVE,ASSERTIVE
50,Unwählbar.,UNSURE,ASSERTIVE
51,"Den grauen Himmel ist man gar nicht gewohnt,",ASSERTIVE,EXPRESSIVE
52,"Ja, beide Anstalten extrem identitäre ID politics Sprallos",UNSURE,ASSERTIVE
53,"Ohne Bohlen-Auftrieb, würde die heute auf gewissen Straßen tippeln?!",ASSERTIVE,DIRECTIVE
54,"Diese Männer sollten so ein abschließbares Penisgefängnis tragen,",DIRECTIVE,ASSERTIVE
55,Hilft zuminest dem Bürger vor Machtlosigkeit gegen kriminelles Asylantenpack.,UNSURE,ASSERTIVE
56,dass kann doch nicht wahr sein in diesem unserem Lande,EXPRESSIVE,UNSURE
57,"Next up: |LBR| ""Die Kolonialisierung der Studentenhirne - Lyzis Welt über 40 Jahre kritische Poptheorie""",UNSURE,ASSERTIVE
58,"Hallo liebe Freunde des deutschen Handballsports,",DIRECTIVE,EXPRESSIVE
59,#Merkelmussweg,DIRECTIVE,COMOTH
60,"mindest 1500 für jeden, ohne Bedingungen, ab 65, spätestens!",DIRECTIVE,ASSERTIVE
61,Immer schon.,ASSERTIVE,UNSURE
62,"So, du Honk.",EXPRESSIVE,UNSURE
63,"Ein ECKBALLTOR , jetzt kann ich beruhigt sterben...",UNSURE,EXPRESSIVE
64,"Klar, was fragen Sie denn so doof.",UNSURE,DIRECTIVE
65,"Wenn ich die blöden SPD Weiber sehe, allesamt nach Anatolien entsenden.",DIRECTIVE,EXPRESSIVE
66,Wie schwer von Begriff kann man sein.,DIRECTIVE,UNSURE
67,Grüne Logik oder dogmatischer Kulturmarxismus für Idioten,DIRECTIVE,UNSURE
68,"Ich würde Herrn Voigts nun nicht als ""Journalisten"" bezeichnen...",UNSURE,ASSERTIVE
69,|LBR| Und ja verdammde Asiaddn machen einfach viel zu leckeres Essen,ASSERTIVE,EXPRESSIVE
70,"|LBR| Jaja, die Unabhängigkeit des Staatsanwalts, muss gegen und für den mutmaßlichen ""Täter""ermitteln,",EXPRESSIVE,ASSERTIVE
71,Schlimmste Gefahr für die Fortexistenz des Abendlandes momentan: Jugendwiderstand.,UNSURE,ASSERTIVE
72,Gottseidank ist dem nicht so...,UNSURE,ASSERTIVE
73,"Es sei denn, man legt Wert auf Destabilisierung seiner Heimat, Verlust sämtlicher Werte, die das Land einst voran brachten.",EXPRESSIVE,ASSERTIVE
74,herzerfrischender Sport,ASSERTIVE,EXPRESSIVE
75,So geiler Content auf diesen Accounts und ich verpasse alles.,UNSURE,EXPRESSIVE
76,ist halt auch wichtig denn was nicht draußen ankommt gilt hat auch nicht,UNSURE,ASSERTIVE
77,Religion des Friedens und kuschelns!,EXPRESSIVE,ASSERTIVE
78,"Ok, amüsant und sinnlos ...",UNSURE,EXPRESSIVE
79,"Ah, hat dich dieselbe hohldrehende Pissbirne auch gemeldet.",EXPRESSIVE,DIRECTIVE
80,siehe meine 2 Tweets davor.,DIRECTIVE,ASSERTIVE
81,Es ist ein perfektes Einfallstor für den Opferkult.,UNSURE,EXPRESSIVE
82,wird mit einer unsozialen Hungerrente direkt in die Armut geschickt.,EXPRESSIVE,ASSERTIVE
83,"Ich würde ihnen gern eine arte Doku zum Thema zukommen lassen,",ASSERTIVE,DIRECTIVE
84,Dass man ihn noch ins Spital bringt hat was.,UNSURE,ASSERTIVE
85,Sie wollen besser behandelt werden,ASSERTIVE,DIRECTIVE
86,Nette Zusammenfassung,UNSURE,EXPRESSIVE
87,Beifall.,EXPRESSIVE,ASSERTIVE
