,Text,True Label,Prediction
52,"Man setzt lieber die eigene Bevölkerung der Gefahr aus, Opfer eines Verbrechens zu werden, bevor man ausländische Straftäter abschieben mag.",EXPRESSIVE,ASSERTIVE
53,ich glaub ich muss kotzen!,ASSERTIVE,EXPRESSIVE
54,|LBR| Schönen Freitag.,EXPRESSIVE,COMMISSIVE
55,"keine lächerliche Föhnwelle à la Löw,",ASSERTIVE,UNSURE
56,"Wie auch das Video des BAMF was weiter für die Invasion, Asyl Missbrauch in der BRD wirbt...",EXPRESSIVE,ASSERTIVE
57,"Aber immer auf die bösen , bösen Rechten schießen!",EXPRESSIVE,DIRECTIVE
58,Zur Hölle mit den koreanischen Tierquälern!,EXPRESSIVE,DIRECTIVE
59,Wenn ich das hochgestochene Dummgeschwätz von Cem 🇹🇷 höre verstehe ich warum so viele die AFD wählen,EXPRESSIVE,ASSERTIVE
60,|LBR| Wie sagte die komische Kuh von den Grünen...und ich freu mich darauf....,UNSURE,DIRECTIVE
61,"Europäische Straßen sehen aus wie im Nahen Osten,",EXPRESSIVE,ASSERTIVE
62,we're not gonna agree.,UNSURE,ASSERTIVE
63,Scheiß drauf,DIRECTIVE,EXPRESSIVE
64,"voller verrückter Mossis die Juden den Tod wünschen, aber keine Sorge: |LBR| Das ist Vielfalt, das ist bunt und eine Islamisierung findet nicht statt.",EXPRESSIVE,ASSERTIVE
65,Hoffentlich liest den Scheiss niemand,EXPRESSIVE,ASSERTIVE
66,Dann starben die glücklicherweise aus.,EXPRESSIVE,ASSERTIVE
67,dann passts für den Staatsfunk wieder.,EXPRESSIVE,ASSERTIVE
68,"""Jugendwiderstand""= wohlstandsübersättigte Dödel mit Komplexen aufgrund Herkunft und ihrer Micro-Penisse.",EXPRESSIVE,ASSERTIVE
69,die da #unten können ja verrecken,EXPRESSIVE,ASSERTIVE
70,"Wenn es wenigstens ekstatische Wonne wäre, die zu hören ist.",EXPRESSIVE,UNSURE
71,Ein Witz.,EXPRESSIVE,UNSURE
72,Ist die Blöd,DIRECTIVE,UNSURE
73,Ja eben scheiß #Humanismus,UNSURE,EXPRESSIVE
74,"That's not how things work,",ASSERTIVE,UNSURE
75,So ein Früchtchen.,ASSERTIVE,UNSURE
76,ausserdem zeigt das die chats an ihr ottos,UNSURE,ASSERTIVE
77,|LBR| Verfluchte Scheisse...,EXPRESSIVE,UNSURE
78,Jakarta nur Drecks Islamisten !!!,EXPRESSIVE,ASSERTIVE
79,Der Staatsfunk hat halt einen politischen Auftrag.,UNSURE,ASSERTIVE
80,#seufz,EXPRESSIVE,OTHER
81,Wir leben in einem Irrenhaus.,EXPRESSIVE,ASSERTIVE
82,".... die beide mehr Ahnung vom Nahost-Konflikt haben als das gesamte MENA-Watch-Troll-Team, das ein zionistischer Stahlbaron zum Lügen, Betrügen und Verleumden durchfüttert...",ASSERTIVE,EXPRESSIVE
83,Habe eine Superfrau mit Hammerbrüsten daheim.,ASSERTIVE,UNSURE
84,"|LBR| ""Bewerbung ist jetzt recht scheiße geworden aber eingentlich schon besser als alles andere",ASSERTIVE,EXPRESSIVE
85,Scheiß die Wand an.,UNSURE,EXPRESSIVE
86,Die Linken Anarchisten sind Saboteure am Deutschen Volk und gehören in Umerziehungs-Lager.,EXPRESSIVE,ASSERTIVE
87,"Na ja, Du als Moslem musst Juden ja hassen.",UNSURE,ASSERTIVE
88,ohne dem geht es nicht.,UNSURE,ASSERTIVE
89,|LBR| Noch mehr von diesen resthirnbefreiten Labertaschen und wir können den Laden dichtmachen.,ASSERTIVE,COMMISSIVE
90,|LBR| Nicht nur die May auch das Deutsche Volk..,EXPRESSIVE,ASSERTIVE
91,es traf ja nur die Nachbarn...,EXPRESSIVE,ASSERTIVE
