,Text,True Label,Prediction
32,"|LBR| Jaja, die Unabhängigkeit des Staatsanwalts, muss gegen und für den mutmaßlichen ""Täter""ermitteln,",COMPLAIN,ASSERT
33,Und Grenzen todsicher machen!,UNSURE,REQUIRE
34,Hahaha!,REJOICE,COMPLAIN
35,#afdwegfegen,REQUIRE,OTHER
36,Das ist vor allem Schwachsinn.,UNSURE,COMPLAIN
37,"Ich ärgere mich nur, dass Leute eine andere Ansicht als ich haben, weil ich sehr kluk bin)",COMPLAIN,ASSERT
38,"Warum kein deutsches Themenmärchen,",REQUEST,UNSURE
39,"Den grauen Himmel ist man gar nicht gewohnt,",ASSERT,COMPLAIN
40,Egal ob er sich die Zähne putzt oder nicht.,GUESS,ASSERT
41,Fett gepamperte Zugpferde sämtlicher arabischer Islamlobbys.,UNSURE,COMPLAIN
42,|LBR| Dieses Sozialsystem ist eines der schlechtesten überhaupt.,COMPLAIN,ASSERT
43,dann hätten wir nämlich wieder nichts erfahren!,ASSERT,COMPLAIN
44,"|LBR| Ich sehe Israel als Enklave von Freiheit und Demokratie inmitten feindseliger archaischer Islamdiktaturen, mit absoluten Verteidigungsrecht, und die deutsche Subventionierung der Hamas für unterirdische Doppelmoral!",COMPLAIN,ASSERT
45,Lüge...,UNSURE,COMPLAIN
46,"Wieder ein Beispiel für angeblichen ""Antikapitalismus""von Rechts ...",COMPLAIN,UNSURE
47,Richtig so,AGREE,UNSURE
48,"|LBR| Die linke,deutsch/islamische #Bundesregierung kann den #korantreuen #Moslems #IS #Hamas doch gleich den Schlüssel zu Deutschland überreichen.",SUGGEST,COMPLAIN
49,Immer schon.,ASSERT,UNSURE
50,spielt Bildung keine Rolle....,REQUEST,ASSERT
51,"- aber wenn sie der Schariapartei entgegengesetzt wird, gerne doch!",UNSURE,SUGGEST
52,"momentan kriechen die #SS-Offiziere der #CDU und anderen Parteien, aus dem Merkel-regime, aus den tiefen der deutschen Kanalisationen des 3.Reiches auf.",COMPLAIN,ASSERT
53,Thread,ASSERT,UNSURE
54,Diese Gelbwestenkacke ist nicht politisch.,ASSERT,UNSURE
55,|LBR| BRD: Knast wegen Schwarzfahren,COMPLAIN,ASSERT
56,Africhinese.,ASSERT,UNSURE
57,"Man setzt lieber die eigene Bevölkerung der Gefahr aus, Opfer eines Verbrechens zu werden, bevor man ausländische Straftäter abschieben mag.",COMPLAIN,ASSERT
58,ich glaub ich muss kotzen!,GUESS,COMPLAIN
59,|LBR| Schönen Freitag.,WISH,UNSURE
60,"keine lächerliche Föhnwelle à la Löw,",ASSERT,COMPLAIN
61,"Wie auch das Video des BAMF was weiter für die Invasion, Asyl Missbrauch in der BRD wirbt...",COMPLAIN,ASSERT
62,"Aber immer auf die bösen , bösen Rechten schießen!",COMPLAIN,REQUIRE
63,Wenn ich das hochgestochene Dummgeschwätz von Cem 🇹🇷 höre verstehe ich warum so viele die AFD wählen,COMPLAIN,ASSERT
64,|LBR| Wie sagte die komische Kuh von den Grünen...und ich freu mich darauf....,UNSURE,REQUEST
65,"Europäische Straßen sehen aus wie im Nahen Osten,",COMPLAIN,ASSERT
66,"Eine ""Sie""also...",ASSERT,UNSURE
67,we're not gonna agree.,UNSURE,ASSERT
68,Die gibt es zuhauf!,ASSERT,COMPLAIN
69,Scheiß drauf,REQUIRE,COMPLAIN
70,Dann starben die glücklicherweise aus.,REJOICE,ASSERT
71,dann passts für den Staatsfunk wieder.,COMPLAIN,PREDICT
72,Haha.,REJOICE,COMPLAIN
73,"""Jugendwiderstand""= wohlstandsübersättigte Dödel mit Komplexen aufgrund Herkunft und ihrer Micro-Penisse.",COMPLAIN,ASSERT
74,"Wenn es wenigstens ekstatische Wonne wäre, die zu hören ist.",WISH,COMPLAIN
75,"|LBR| Eigentlich eine Anmerkung, ein Gedanke zu einem anderen, genialen Tweet.",ASSERT,UNSURE
76,Ein Witz.,COMPLAIN,UNSURE
77,"einfach, schön.",REJOICE,COMPLAIN
78,Rücksichtslos.,ASSERT,COMPLAIN
79,Ist die Blöd,REQUEST,UNSURE
80,Ja eben scheiß #Humanismus,UNSURE,COMPLAIN
81,So ein Früchtchen.,ASSERT,UNSURE
82,|LBR| Alles andere ist Bullshit.,ASSERT,COMPLAIN
83,Ja!,AGREE,UNSURE
84,Gedanken zum Sonntag,ASSERT,UNSURE
85,ausserdem zeigt das die chats an ihr ottos,UNSURE,ASSERT
86,Der Staatsfunk hat halt einen politischen Auftrag.,UNSURE,ASSERT
87,"Die #EU steigt über jede Frauen-und Kinderleiche, solange der Profit rollt!",ASSERT,COMPLAIN
88,"Wenn ich die blöden SPD Weiber sehe, allesamt nach Anatolien entsenden.",REQUIRE,COMPLAIN
89,#seufz,COMPLAIN,OTHER
90,Wir leben in einem Irrenhaus.,COMPLAIN,ASSERT
91,"Ok, amüsant und sinnlos ...",UNSURE,COMPLAIN
92,|LBR| Leider funktioniert das nicht so.,EXCLUDED,ASSERT
93,".... die beide mehr Ahnung vom Nahost-Konflikt haben als das gesamte MENA-Watch-Troll-Team, das ein zionistischer Stahlbaron zum Lügen, Betrügen und Verleumden durchfüttert...",ASSERT,COMPLAIN
94,Fast die Hälfte der Stimmen für Merz ...,ASSERT,UNSURE
95,"|LBR| ""Bewerbung ist jetzt recht scheiße geworden aber eingentlich schon besser als alles andere",ASSERT,COMPLAIN
96,"|LBR| Diese Hilflosigkeit in seinen Augen, sein zerschredderter Lebensentwurf für's Alter, alles Makulatur!",COMPLAIN,ASSERT
97,Scheiß die Wand an.,UNSURE,COMPLAIN
98,geiler wirds heute nicht mehr,UNSURE,COMPLAIN
99,Die Linken Anarchisten sind Saboteure am Deutschen Volk und gehören in Umerziehungs-Lager.,COMPLAIN,ASSERT
100,nützt alles nix!,ASSERT,REQUIRE
101,the Führer is very amused...,ASSERT,COMPLAIN
102,"Na ja, Du als Moslem musst Juden ja hassen.",UNSURE,ASSERT
103,ohne dem geht es nicht.,UNSURE,ASSERT
104,Du bist als Muslima aber kein Ausdruck verschiedener Religionen.,EXCLUDED,ASSERT
105,Interview mit Ragdahd.,ASSERT,UNSURE
106,|LBR| Nicht nur die May auch das Deutsche Volk..,COMPLAIN,ASSERT
107,es traf ja nur die Nachbarn...,COMPLAIN,ASSERT
